epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1141,1.38071,1.63075,1.15908,0.91253,0.55492,0.6113,0.38124,1.28841,1.05524,1.12322,0.00047489,0.00047489,0.00047489
2,84.31,1.30399,1.01365,1.12544,0.95579,0.58283,0.6332,0.39867,1.28207,0.75925,1.12892,0.000941806,0.000941806,0.000941806
3,124.907,1.28865,0.88905,1.12586,0.95169,0.59621,0.63913,0.41024,1.24238,0.71262,1.12247,0.00139929,0.00139929,0.00139929
4,166.161,1.28362,0.81816,1.12129,0.9406,0.59032,0.63111,0.40102,1.28873,0.73,1.1527,0.00138656,0.00138656,0.00138656
5,209.22,1.26136,0.78356,1.11385,0.95158,0.59746,0.64133,0.41836,1.23273,0.6734,1.11556,0.00137241,0.00137241,0.00137241
6,252.114,1.24749,0.76021,1.10762,0.95071,0.6069,0.64702,0.4224,1.23778,0.6536,1.12754,0.00135826,0.00135826,0.00135826
7,295.238,1.22441,0.73248,1.09205,0.95356,0.60785,0.6494,0.43422,1.18938,0.62353,1.10071,0.00134412,0.00134412,0.00134412
8,339.143,1.22614,0.71685,1.09676,0.94815,0.60185,0.64728,0.42697,1.21072,0.64762,1.10738,0.00132997,0.00132997,0.00132997
9,383.45,1.20322,0.70392,1.08749,0.95048,0.6117,0.6471,0.4271,1.19004,0.61076,1.09233,0.00131582,0.00131582,0.00131582
10,428.469,1.21023,0.69249,1.08476,0.9541,0.60673,0.64717,0.42856,1.21974,0.60815,1.1016,0.00130168,0.00130168,0.00130168
11,473.719,1.20025,0.69245,1.08662,0.95261,0.6162,0.6518,0.43512,1.19221,0.59143,1.09694,0.00128753,0.00128753,0.00128753
12,519.188,1.19316,0.67635,1.08047,0.95709,0.60926,0.65156,0.43533,1.19203,0.59248,1.10072,0.00127338,0.00127338,0.00127338
13,565.869,1.18462,0.66144,1.07799,0.96068,0.61313,0.65499,0.44145,1.17068,0.57155,1.08964,0.00125923,0.00125923,0.00125923
14,613.061,1.19015,0.66013,1.08037,0.95637,0.61009,0.65521,0.44134,1.19072,0.57713,1.09891,0.00124509,0.00124509,0.00124509
15,660.553,1.17944,0.65508,1.07857,0.95678,0.61773,0.65408,0.4397,1.16845,0.57159,1.08463,0.00123094,0.00123094,0.00123094
16,708.354,1.16957,0.64872,1.07133,0.95876,0.61609,0.65335,0.44561,1.15892,0.55678,1.08591,0.00121679,0.00121679,0.00121679
17,756.128,1.16182,0.65064,1.07228,0.95841,0.61347,0.65289,0.44506,1.16144,0.55873,1.0823,0.00120265,0.00120265,0.00120265
18,801.588,1.16189,0.63659,1.06681,0.95918,0.61777,0.65541,0.44578,1.15675,0.55009,1.08241,0.0011885,0.0011885,0.0011885
